number,age,response_id,gender,fav_char,choice_dictation,Socialiser,Achiever,Explorer,Killer,platform,class,character_gender,Self.Monitoring,Nondisclosure.of.Imperfection,Nondisplay.of.Imperfection,Perfectionistic.Self.Promotion,Openness.To.Experience,Agreeableness,Conscienctiousness,Neuroticism,Extraversion
149,21 - 24,R_2amdcRtztibLK9t,Male,Reinhardt,50,2,1,4,3,PC,Tank,Male,14,3.285714286,5.1,3.1,4.142857143,3.142857143,3,3.25,2.333333333
150,21 - 24,R_2c1q4TvQDJJdB8y,Male,Junkrat,92,3,1,2,4,PC,Defense,Male,16,3.428571429,5.6,3.5,3.571428571,3.857142857,2.5,3.875,1.333333333
151,18 - 20,R_24e1gnlcCZFelZc,Male,Widowmaker,40,3,1,4,2,Playstation,Defense,Female,17,3.714285714,4.7,3.4,3,4,3.2,2.5,2.444444444
152,18 - 20,R_24orurC8s1Ac37s,Male,Junkrat,100,1,2,4,3,Playstation,Defense,Male,16,3.428571429,3.6,3.5,2.857142857,4.285714286,3,2.125,3.888888889
153,30 - 34,R_3EhwIOMxbcEEO6Q,Male,Reinhardt,91,2,1,4,3,XBox,Tank,Male,12,3.714285714,4.6,3.1,3.714285714,3.428571429,3.4,2.375,2.111111111
154,18 - 20,R_3qvTnzg0gumrYxK,Female,Junkrat,100,1,2,4,3,PC,Defense,Male,8,3.714285714,5.7,3.6,3.571428571,4,3,2.75,2.777777778
155,25 - 29,R_ZJdE0grP5wD4FaN,Male,Widowmaker,27,4,2,3,1,PC,Defense,Female,13,3.428571429,3.5,2.7,4,3.285714286,2.2,2.75,3.555555556
156,21 - 24,R_3fObXEUbsrtrotZ,Male,Torbjorn,91,2,1,4,3,Playstation,Defense,Male,14,3.428571429,5.8,4.4,3.142857143,3.857142857,3.5,3,3.444444444
157,30 - 34,R_1IhIOwC3yH5mQDo,Female,Reaper,73,4,1,3,2,PC,Offense,Male,10,3.714285714,4.1,2.3,4.571428571,4.571428571,2.1,3.625,2.333333333
158,25 - 29,R_W6hmLbZOO4GmOrf,Female,Lucio,69,3,1,2,4,PC,Support,Male,17,3.857142857,4.3,3.3,2.857142857,2.857142857,2.8,3.625,2.444444444
159,25 - 29,R_1OJfvSEGuz8AnFX,Male,Junkrat,19,3,1,2,4,PC,Defense,Male,21,4.285714286,5.5,4.5,4.571428571,3.285714286,2.4,3,4.444444444
160,21 - 24,R_3F3vTcv6EablXQ3,Male,Tracer,25,3,1,4,2,PC,Offense,Female,20,2,4.9,4.8,3.857142857,4,3.3,3.125,3
161,30 - 34,R_1BRWsjWvgmwIEEQ,Male,Mercy,49,1,2,3,4,Playstation,Support,Female,15,4.428571429,4.2,3.3,4.428571429,4.285714286,2.3,3.375,3.333333333
162,21 - 24,R_3PjBTXBmz26WUqA,Male,Tracer,40,2,1,4,3,PC,Offense,Female,7,3.571428571,4.2,3.4,3.285714286,4,2.4,2.25,2
163,30 - 34,R_1LHUUejRAHwHrhD,Male,Zenyatta,69,1,2,3,4,Playstation,Support,Male,18,4.142857143,4.8,4.3,4.428571429,4.285714286,4.1,2.125,3.555555556
164,30 - 34,R_2uEP6hf2u8r0k6p,Male,D. Va,70,2,1,3,4,Playstation,Tank,Female,10,3.714285714,3.6,3.4,3.571428571,3.714285714,3.3,2.75,4
165,18 - 20,R_1JDsh8uzteR8u9S,Male,Ana,70,1,2,3,4,PC,Support,Female,18,2.285714286,3,2.7,4.571428571,4.142857143,4.2,1.25,3.777777778
166,18 - 20,R_2Bm7zEkDmysWVdW,Male,McCree,65,2,1,3,4,Playstation,Offense,Male,7,4.285714286,4.5,3.7,3.285714286,3.285714286,3.5,2.625,1.888888889
167,18 - 20,R_1DNF0xmjqCyT61w,Male,Reinhardt,71,1,2,4,3,PC,Tank,Male,13,3.714285714,5.1,4.8,4.714285714,3.714285714,3.3,2.125,1.888888889
168,35 - 39,R_279hp1uNrPLdtE5,Male,Zenyatta,30,2,1,4,3,PC,Support,Male,12,3.714285714,4.5,3,3.857142857,3.571428571,3.6,1.375,3.111111111
169,18 - 20,R_ZfV92X8Nn3attGp,Female,Mercy,31,1,3,2,4,PC,Support,Female,13,2.714285714,3.8,3.7,4.714285714,4.571428571,3.2,3.125,2
170,21 - 24,R_24BotjC9S19HCm1,Female,Mercy,41,3,1,2,4,PC,Support,Female,13,6.571428571,7,7,3.571428571,2.857142857,2.8,4.875,1.444444444
171,25 - 29,R_1l6QYAuOMsYGPCS,Female,Zarya,63,1,2,3,4,PC,Tank,Female,7,3.285714286,4.6,4.2,4.714285714,3.285714286,2.6,4.375,2.111111111
172,21 - 24,R_cuqCawYvNeVNOPD,Female,Hanzo,65,2,1,3,4,PC,Defense,Male,8,2.714285714,4.9,3.9,3.285714286,3.428571429,1.7,2.5,1.444444444
173,30 - 34,R_PHfxgbm49Fs3IAx,Male,Reinhardt,80,2,1,4,3,PC,Tank,Male,9,3,3.7,3.2,3.714285714,2.571428571,2.5,2.5,2.777777778
174,25 - 29,R_1EZsBWB4FUdlrVx,Female,Zarya,16,1,2,4,3,PC,Tank,Female,12,4.142857143,5.2,3.8,3.142857143,4.142857143,3.1,3.25,1.333333333
175,21 - 24,R_3gRxgUewYv30nAl,Male,D. Va,77,3,1,4,2,Playstation,Tank,Female,18,2.571428571,3.9,4.2,4,4.571428571,3.9,2.25,3.444444444
176,35 - 39,R_3PgAw5VcOiEq4Xu,Male,Mercy,19,2,1,3,4,Playstation,Support,Female,12,4.714285714,4.5,3.8,4.142857143,4.428571429,4.1,4,2
177,30 - 34,R_3GqvGuegBHwcXAa,Male,Mei,32,2,1,4,3,PC,Defense,Female,6,4.714285714,4.2,3.1,4.571428571,4.714285714,4.3,1.125,3.222222222
178,21 - 24,R_4VNZzh2RhY8n8Od,Male,Soldier: 76,39,4,1,3,2,PC,Offense,Male,8,3.571428571,4.3,4.5,2.285714286,3.714285714,3,3,2.333333333
179,25 - 29,R_2zje9Jp6sp1wLNo,Male,Reinhardt,26,1,2,3,4,PC,Tank,Male,7,4.428571429,3.8,3.4,3.285714286,3.714285714,3,3,1.888888889
180,18 - 20,R_1TdYiP6mAZH7OYF,Male,Zenyatta,38,1,2,3,4,XBox,Support,Male,15,2.571428571,4.3,3.5,4.285714286,3.714285714,4,2.5,4
181,30 - 34,R_3mgZv4Iyn3o5JB6,Male,Ana,70,3,1,4,2,PC,Support,Female,15,3,4.6,2.9,4.857142857,3.571428571,4.8,1.5,4.222222222
182,25 - 29,R_2zin77vBf0g9WLu,Male,Zenyatta,78,1,2,3,4,Playstation,Support,Male,17,3,3.2,3.6,3.857142857,4.428571429,3.4,1.875,3.777777778
183,21 - 24,R_ZHKIJTwD5BegxON,Female,Mercy,91,3,2,1,4,PC,Support,Female,13,2.142857143,3.5,2.3,4.857142857,4.142857143,3.1,3.625,3.333333333
184,25 - 29,R_2uvWszGWp2EFAzK,Male,Pharah,0,2,4,1,3,PC,Offense,Female,17,1,2.7,4.6,4.428571429,4,2.4,1.25,4.666666667
185,21 - 24,R_28BXz364fWuL9w7,Male,Zenyatta,90,2,1,3,4,XBox,Support,Male,15,3.857142857,5.7,5.2,4,3.428571429,2.8,2.625,4.333333333
186,18 - 20,R_2ydcTjZQbN5cnbR,Male,Lucio,80,2,1,3,4,PC,Support,Male,6,5.285714286,6.3,4.9,4.285714286,4.571428571,3.7,1.75,1.555555556
187,25 - 29,R_3qL1fUMzA0L7mBI,Male,Reinhardt,71,2,1,4,3,PC,Tank,Male,12,4.285714286,4.7,3.4,2.714285714,3.857142857,4.2,3,3.666666667
188,21 - 24,R_0VyC1cJoRPmtOBX,Male,Genji,96,2,1,3,4,XBox,Offense,Male,18,2.857142857,3.4,3.3,4.714285714,4,2.8,1.25,4.888888889
189,18 - 20,R_1Hi64pv773HKyOw,Male,Reinhardt,66,1,2,3,4,PC,Tank,Male,12,2.428571429,5.5,3.5,4.285714286,3.142857143,2.2,2.875,2.444444444
190,18 - 20,R_31QopNQhIC2c5tN,Male,Lucio,33,4,3,1,2,PC,Support,Male,9,3.142857143,2.8,3,4.285714286,4.142857143,3.2,2.375,2.666666667
191,25 - 29,R_UElEInxwrBv07cZ,Male,Zarya,30,2,1,4,3,Playstation,Tank,Female,13,4,5.9,4.7,3.285714286,4.285714286,2.9,3.375,3.222222222
192,30 - 34,R_2ATr3aAD4kHafMA,Male,Symmetra,25,1,2,4,3,PC,Support,Female,9,2.285714286,3.2,2.6,4.285714286,4.714285714,3.2,2.375,3.888888889
193,18 - 20,R_2fd1ByVzPyWOWfV,Female,D. Va,32,4,1,3,2,PC,Tank,Female,14,4.857142857,6.1,4.5,2.571428571,4.285714286,2.9,3.375,1.666666667
194,35 - 39,R_acagl5agz7zUFup,Male,Zenyatta,28,4,1,3,2,PC,Support,Male,12,5.428571429,5.7,3.8,4.285714286,2.571428571,2.5,4,2.222222222
195,18 - 20,R_31SlB4PXbP7DICy,Male,Zenyatta,39,2,1,3,4,PC,Support,Male,9,4.285714286,5.9,3.3,4,3.714285714,2.8,3.625,1.333333333
196,21 - 24,R_1lp2lj0654iWNYt,Male,Zenyatta,36,2,1,4,3,PC,Support,Male,10,4.714285714,5,5.4,4.285714286,3.428571429,2.1,3.25,1.777777778
197,21 - 24,R_10IpGxz5hr5B1B7,Male,D. Va,35,3,1,4,2,PC,Tank,Female,13,1.571428571,2.3,2,3.428571429,4.142857143,4,1.375,4.222222222
198,21 - 24,R_3sFKrNgxvlJEJuF,Male,D. Va,83,2,1,3,4,XBox,Tank,Female,14,3,3.6,4.3,4,3.714285714,3.2,1.875,3.222222222
199,18 - 20,R_3CTLgxbNJIrvaeC,Male,Tracer,61,2,1,3,4,Playstation,Offense,Female,13,3.571428571,5.7,4.3,3.857142857,4,3.5,2.75,1.333333333
200,18 - 20,R_1GTbVWP2DMAvDsS,Female,Mercy,80,3,1,2,4,PC,Support,Female,9,5.857142857,6.6,4.4,4,3.857142857,2.6,3.75,1.111111111
201,25 - 29,R_3iOOviUs0Ucp33u,Male,Sombra,70,2,1,3,4,Playstation,Offense,Female,14,4.571428571,7,5.5,4.428571429,4.142857143,3,3.75,2.222222222
202,21 - 24,R_3EhfqIuqr6TxyZl,Male,Zarya,100,1,2,4,3,Playstation,Tank,Female,8,1.857142857,3.7,3.5,3.857142857,2.714285714,3.4,2.625,2.888888889
203,25 - 29,R_wYHSvz2eDYQOhl7,Male,Roadhog,39,3,1,4,2,PC,Tank,Male,9,3,3.6,3.1,3.571428571,3.285714286,3.1,1.5,2.888888889
204,25 - 29,R_2R3uWtSzTsLpye8,Male,Junkrat,14,1,2,4,3,XBox,Defense,Male,14,3.714285714,3.7,3,3,3.714285714,3.6,3,3.222222222
205,18 - 20,R_3huMYBXIQjI8HEu,Male,McCree,22,2,1,4,3,PC,Offense,Male,16,4.571428571,4.8,3,4.714285714,3.142857143,2.9,3.375,3.222222222
206,25 - 29,R_UaIYmdJOEeuzjoJ,Male,McCree,40,2,1,3,4,PC,Offense,Male,17,5.142857143,5.5,6.7,4.428571429,4.285714286,3.3,3,4
207,30 - 34,R_2P4DrfAyKbCT9LH,Male,Lucio,89,2,1,4,3,Playstation,Support,Male,11,3.714285714,6,5.1,4.285714286,4.714285714,2.6,3.75,1.666666667
208,21 - 24,R_2ceEb0jsT6PYc8p,Male,Lucio,70,2,1,4,3,PC,Support,Male,13,4.714285714,5.9,3.9,3.857142857,4.285714286,2.1,3.125,2.888888889
209,18 - 20,R_1E0gvOqqiHAEs4G,Male,Widowmaker,85,2,1,3,4,XBox,Defense,Female,12,4,3.8,3,3.857142857,4,3.1,2.375,2.666666667
210,25 - 29,R_BzY71ZIts04HjLX,Male,Genji,74,1,2,4,3,PC,Offense,Male,15,2.857142857,2.4,3.4,4.142857143,4.571428571,4.4,1.875,4.333333333
211,18 - 20,R_UL2u0F07NjdAqk1,Male,Zenyatta,72,3,1,4,2,PC,Support,Male,11,6,6.5,6.8,3.714285714,3.571428571,2.7,3.25,1.888888889
212,25 - 29,R_ezHhIXjU2pM3XcR,Female,Zenyatta,92,1,3,2,4,XBox,Support,Male,NA,4.285714286,4.3,5.2,4,4.142857143,3.8,2.375,3.222222222
213,25 - 29,R_2CQv2FeIkvNoyXd,Female,Lucio,70,1,2,4,3,PC,Support,Male,16,4.571428571,5.2,5,3.714285714,4.285714286,3.5,3.375,2.888888889
214,21 - 24,R_2ysFIPrZZ43TgVK,Male,Mei,82,4,2,1,3,PC,Defense,Female,15,3,2.9,2.4,3.428571429,3.857142857,2.1,2.125,4
215,25 - 29,R_3st6hhE80D2ePHM,Male,Tracer,60,2,1,4,3,PC,Offense,Female,18,4,4.4,4.8,4.857142857,3.714285714,3.3,2.375,3.555555556
216,30 - 34,R_2rHqxrjEnEFEPQl,Male,Torbjorn,80,2,1,4,3,PC,Defense,Male,12,2.857142857,4.8,3.4,3.571428571,5,2.9,1.125,3.333333333
217,18 - 20,R_1JOUsCXLKdBeAhv,Male,Junkrat,86,3,1,4,2,Playstation,Defense,Male,8,5.571428571,5.1,4,1.571428571,3.857142857,3.2,1.5,3.222222222
218,21 - 24,R_3gU2iHniOX1OdXP,Male,Tracer,19,4,1,2,3,PC,Offense,Female,11,2.857142857,2.3,2.9,3.428571429,4.285714286,3.5,2.25,3.111111111
219,21 - 24,R_scACDgNQgJ7JeE1,Female,Zarya,34,1,2,3,4,PC,Tank,Female,13,4.285714286,4.6,4.3,3.428571429,3.714285714,4,2.375,3.888888889
220,18 - 20,R_2QDSaPeUs4MWuR7,Male,Genji,55,1,2,4,3,PC,Offense,Male,19,4.428571429,6.7,5.3,3.714285714,3.142857143,2.4,3,2.888888889
221,40 - 49,R_dcnjYhKpXJyufWV,Male,Ana,51,1,2,3,4,PC,Support,Female,11,2.428571429,4.3,3.6,4.714285714,4.428571429,3.9,1.5,3
222,18 - 20,R_qR9NDoNjQvhzom5,Male,Zenyatta,100,2,1,4,3,PC,Support,Male,17,4.857142857,6.8,4.7,3.857142857,4.857142857,2.5,3.25,1.666666667
223,25 - 29,R_5hhToHvRcdebnzj,Female,Mercy,50,1,2,3,4,PC,Support,Female,5,4.428571429,5.7,4.2,4,4.428571429,3,3.5,1.555555556
224,30 - 34,R_p5TC6EOWwXLrC01,Male,Lucio,70,2,1,3,4,PC,Support,Male,11,4.571428571,5.3,5.1,4,4.142857143,4.1,2.375,1.666666667
225,25 - 29,R_27vbCMrE5G09ILy,Female,Orisa,70,1,3,2,4,PC,Tank,Female,16,3.142857143,4.8,5.2,4.571428571,4.857142857,3.7,1.75,4.333333333
226,18 - 20,R_1Hccix2mlVPy9yi,Male,Pharah,85,3,1,2,4,Playstation,Offense,Female,19,4.428571429,4.7,5.3,4.714285714,3.571428571,3.6,3,3.666666667
227,18 - 20,R_21dGWtBahs5IXH7,Male,Zarya,89,2,1,3,4,PC,Tank,Female,17,2.857142857,4.9,3.9,4.142857143,4.857142857,3,2.25,4.222222222
228,35 - 39,R_3FIJRw6ty1BH48B,Male,Zenyatta,51,1,2,3,4,Playstation,Support,Male,15,3.428571429,3.2,2.6,4.714285714,4.142857143,3.2,1.125,4.888888889
229,21 - 24,R_2vePtK4QbrLtjfz,Female,Mercy,19,1,2,4,3,PC,Support,Female,19,3.571428571,5.9,3.9,4.571428571,3.857142857,1.8,3.5,1.888888889
230,30 - 34,R_1rkpekIUO2gjxYE,Male,Zarya,91,1,2,4,3,PC,Tank,Female,13,2.571428571,4.8,2.9,4.428571429,4.428571429,4.2,1.875,3.222222222
231,40 - 49,R_2zcDkuYW5Ows54a,Male,Lucio,77,1,2,4,3,Playstation,Support,Male,NA,2.571428571,4.5,2.8,4.714285714,3,2.5,4.125,2.222222222
232,30 - 34,R_C313H07EY3ZzhId,Female,Zarya,72,2,1,4,3,PC,Tank,Female,15,4.428571429,6.1,6.4,4.714285714,4.142857143,4,3.5,2.777777778
233,21 - 24,R_3HogJpXb20kGceC,Male,Mercy,59,1,2,3,4,Playstation,Support,Female,9,4.285714286,5.4,3.8,4.142857143,4.285714286,2.7,2.75,2.888888889
234,18 - 20,R_2rj9PqwFh9slXSQ,Male,Widowmaker,29,2,1,4,3,PC,Defense,Female,9,5,5.9,6,3.714285714,2.714285714,2.3,3.125,3
235,21 - 24,R_8wUi3u6YjyiEdfr,Male,D. Va,19,2,1,4,3,PC,Tank,Female,15,3.285714286,4.5,2.5,4,4.571428571,2.9,1.125,2.666666667
236,18 - 20,R_1SRA54FeuTd3pLP,Male,Roadhog,34,1,2,4,3,PC,Tank,Male,12,4,4.9,4.5,3.714285714,3.571428571,2.8,1.75,2.111111111
237,18 - 20,R_2dM7pAE3votfGgv,Male,Lucio,23,2,1,3,4,PC,Support,Male,12,5.714285714,6,4.9,2.428571429,3.857142857,2.8,3.25,2.333333333
238,18 - 20,R_0Upua5J6sgH2g5X,Male,Orisa,78,2,1,3,4,PC,Tank,Female,14,4.142857143,4.8,3.8,3,4,3.7,2.25,2.444444444
239,21 - 24,R_2Ey60i2ZDAbsFK0,Male,Soldier: 76,80,3,1,4,2,PC,Offense,Male,12,2.571428571,4,2.7,3.571428571,4.571428571,3.9,1.375,1.888888889
240,25 - 29,R_3FV5gShq7ESemmJ,Male,Ana,87,4,1,3,2,PC,Support,Female,10,4,4.2,4.4,3.142857143,4.571428571,3.4,1.375,2
241,18 - 20,R_2axBEBgDCcpFBiQ,Female,Tracer,0,3,1,4,2,PC,Offense,Female,16,5.142857143,5.6,5.4,4,1.714285714,3.3,3,2.555555556
242,25 - 29,R_22zc3xuVbFmrWOv,Male,Zarya,67,2,1,3,4,XBox,Tank,Female,20,1.285714286,3.6,2.3,5,4.428571429,3.4,2.25,4.555555556
243,21 - 24,R_s5sAJPD129jqtUd,Male,Pharah,49,2,1,3,4,Playstation,Offense,Female,13,2.714285714,4.3,4.1,4.571428571,3.428571429,3.5,3.875,3.666666667
244,25 - 29,R_3hthUt6v1wgTitX,Male,Lucio,83,2,1,4,3,PC,Support,Male,9,2.571428571,3.2,2.6,4.857142857,4.857142857,4.3,1.75,2
245,30 - 34,R_3Kr454bHKlt0IBm,Male,D. Va,25,3,1,2,4,PC,Tank,Female,10,2.571428571,3.5,2.1,4.571428571,3.714285714,3.4,3.125,1.888888889
246,25 - 29,R_2Vwgc708uKJvjYB,Male,Winston,66,1,2,4,3,PC,Tank,Male,19,3.571428571,3.6,3.6,3.714285714,4.142857143,3.2,2.625,3.333333333
247,18 - 20,R_AG4n0ysQzAj3M9b,Male,Pharah,50,1,3,2,4,Playstation,Offense,Female,13,3.714285714,3.5,2.4,3.857142857,4,3,1.625,2.666666667
248,18 - 20,R_1OACHMaU6oMY4ca,Male,Orisa,60,2,1,4,3,XBox,Tank,Female,11,3.857142857,5.9,4.7,3.428571429,4,3.2,2.75,2.333333333
249,18 - 20,R_p6GmXr1kBDoXaJX,Male,Mercy,81,3,1,2,4,PC,Support,Female,NA,3.714285714,5.2,4.5,4.285714286,4.142857143,3,3.125,2.888888889
250,30 - 34,R_2WwJ6p3VcmzbwV6,Male,Pharah,35,4,1,3,2,PC,Offense,Female,16,2.428571429,5.8,4.1,4.285714286,2.857142857,1.7,3.75,3.333333333
251,25 - 29,R_2QG0rjlQ5HJDfSA,Male,Zenyatta,81,1,2,3,4,PC,Support,Male,14,2.714285714,4.4,3.7,3.142857143,3.285714286,4.1,1.875,3.888888889
252,25 - 29,R_3kMLYS0RCwxKckH,Male,Mercy,91,3,1,4,2,Playstation,Support,Female,21,1.857142857,5.1,4.2,4.714285714,4.428571429,3.2,2.125,4.777777778
253,30 - 34,R_cObTFFcDfnhsQsF,Female,Zenyatta,51,1,2,3,4,PC,Support,Male,19,3.714285714,4.8,4.1,4.571428571,4.142857143,3.9,2.75,3.777777778
254,30 - 34,R_9HwPEsZIAsh4R8t,Male,Lucio,0,2,1,4,3,PC,Support,Male,17,3,4.5,4.2,3.428571429,3.857142857,2.6,2.75,3.222222222
255,30 - 34,R_2SCrIYO1sDWv01R,Female,Zenyatta,67,2,1,3,4,PC,Support,Male,13,2.142857143,4.4,4.6,4.142857143,4.571428571,4.4,1.625,3.222222222
256,21 - 24,R_3fvoa60eJp30e6G,Male,Zenyatta,100,2,1,4,3,XBox,Support,Male,14,3.428571429,4.5,2.7,3.857142857,3.571428571,3.5,1.625,3.666666667
257,25 - 29,R_27DymwREWyea1hQ,Female,Mercy,86,1,2,3,4,PC,Support,Female,NA,2.571428571,3,2.8,4.428571429,4.428571429,3.3,2,3
258,18 - 20,R_2QM4nOtNAMGnKZn,Male,Lucio,36,1,2,3,4,PC,Support,Male,13,4.714285714,5.4,4.1,3.428571429,3.285714286,2.2,3.625,2
259,30 - 34,R_3s4EG5N54cwFBlv,Male,Zenyatta,68,1,2,4,3,PC,Support,Male,14,2.142857143,3.1,3.2,4.714285714,2.857142857,3.8,3,3.777777778
260,18 - 20,R_6xOqX2TSVdT9WUh,Male,Lucio,66,2,1,4,3,Playstation,Support,Male,9,3.857142857,3.9,2.8,4.571428571,4.285714286,3.8,2.375,2.666666667
261,21 - 24,R_2fBUDhkKYdGCDeR,Male,D. Va,96,1,2,4,3,PC,Tank,Female,14,2.428571429,3,1.8,3.714285714,4.714285714,4.9,1,3.333333333
262,18 - 20,R_1ooFzMdM4xOWXNr,Male,Reinhardt,70,1,2,4,3,PC,Tank,Male,16,1.857142857,3.3,3.2,4.571428571,4.428571429,3.4,1.875,3.777777778
263,21 - 24,R_1psSq4djZM100EO,Male,Ana,28,4,1,2,3,Playstation,Support,Female,9,3.142857143,4.7,2.7,3,4,3.1,3,2.444444444
264,35 - 39,R_2vdbEVK9Y52mKrg,Male,Lucio,100,2,1,3,4,PC,Support,Male,8,3.285714286,3.1,2.4,3.714285714,4.428571429,4.3,2.25,2.111111111
265,21 - 24,R_23daXNnSVCjYeX6,Male,Reaper,84,2,1,3,4,PC,Offense,Male,13,3.857142857,5.2,4.9,2.142857143,4.142857143,2.1,1.125,1.777777778
266,21 - 24,R_2s15CQE1lJ5e8N7,Male,Hanzo,74,2,1,4,3,PC,Defense,Male,14,4.428571429,5.7,4.7,2.428571429,3.285714286,3.4,2.75,2.222222222
267,30 - 34,R_2TpKcDl4gGnhH1o,Male,Sombra,72,1,2,4,3,PC,Offense,Female,10,3.714285714,4.3,2.9,4.428571429,3.571428571,2.8,4,2.333333333
268,30 - 34,R_2UXh3VmJjF4kcTd,Male,Zarya,80,2,1,4,3,PC,Tank,Female,NA,2.428571429,4.8,3.7,4.142857143,4.571428571,3.1,2.875,2.555555556
269,21 - 24,R_bd83aPUfQuxfcAh,Male,McCree,100,2,1,4,3,PC,Offense,Male,19,2.285714286,4.5,4.5,3.714285714,3.857142857,4.3,2.875,3.111111111
270,18 - 20,R_1jNZ0NuB59KqNIz,Male,Hanzo,29,4,1,3,2,PC,Defense,Male,14,4.571428571,4.3,3.6,4.285714286,3.571428571,3,2.5,1.555555556
271,21 - 24,R_2ZJk9U6Utn2Jz2L,Male,Reinhardt,36,2,1,4,3,PC,Tank,Male,17,3.142857143,4.1,3.2,3.428571429,2.428571429,2.8,3,3.888888889
272,21 - 24,R_QbPpzXSrM1jwg25,Male,Junkrat,50,1,2,3,4,PC,Defense,Male,11,3.428571429,3.1,3.3,3.857142857,4.285714286,3.3,1.875,3.555555556
273,25 - 29,R_2Pecxhk14OCNjwz,Male,D. Va,39,4,1,3,2,PC,Tank,Female,12,3,5.4,5.4,3.714285714,3.142857143,2.9,2.875,1.555555556
274,18 - 20,R_1rGOBQixgbpCsW9,Male,Ana,100,2,1,3,4,PC,Support,Female,19,4.285714286,6.4,6.3,4.857142857,4.714285714,3.2,2.875,3.777777778
275,21 - 24,R_bOcpWxoxi63syhr,Male,Tracer,24,2,1,4,3,PC,Offense,Female,9,4,4.5,3.8,2.285714286,4,3.1,2.375,2.777777778
276,18 - 20,R_ULn3BujlfylrdaV,Male,Mercy,0,1,2,3,4,PC,Support,Female,10,2.714285714,3.3,1.8,3.571428571,4.285714286,3.8,3.5,3.222222222
277,18 - 20,R_bBnlCbsolE0FS25,Male,Tracer,100,1,2,4,3,PC,Offense,Female,13,3.857142857,5.7,4.1,2.714285714,3.857142857,2.1,3.5,2.888888889
278,21 - 24,R_qWvZ9C24RKC99LP,Male,Widowmaker,70,2,1,4,3,PC,Defense,Female,11,2.285714286,2.4,2.4,3.571428571,3,3.7,2.25,3.444444444
279,18 - 20,R_2q8BNG8Z4B442Lf,Male,Tracer,32,3,1,4,2,PC,Offense,Female,12,6,6.8,5.7,3.571428571,3.714285714,3.4,3.625,1.111111111
280,25 - 29,R_25ZvGezFPWv6lQM,Female,Zenyatta,40,1,2,3,4,PC,Support,Male,11,2.714285714,3.7,1.5,4.571428571,4.142857143,3.3,1.5,2.555555556
281,25 - 29,R_1fkin7XjbWPzZ6q,Male,Zenyatta,27,1,2,4,3,PC,Support,Male,12,4,6.1,4.5,3.428571429,4.428571429,3.7,3.625,1.333333333
282,25 - 29,R_2R3QYR9bDMznVi5,Female,Mercy,18,3,2,1,4,PC,Support,Female,4,3.285714286,5.7,2.7,3.857142857,4.571428571,3.7,3.75,1.444444444
283,18 - 20,R_3lWTLhPzyGxv9RP,Male,Widowmaker,0,1,2,3,4,PC,Defense,Female,9,5.428571429,5.9,3.1,3.714285714,4.285714286,2.7,3.625,2
284,25 - 29,R_3D7S2YNvlxgJr0L,Male,Reinhardt,80,2,1,3,4,XBox,Tank,Male,6,4,5.3,4.5,4.857142857,2.142857143,3.4,4.5,2.222222222
285,18 - 20,R_3LheZzkew6NN3Rp,Male,D. Va,30,2,1,3,4,Playstation,Tank,Female,16,4,6,5.3,3.571428571,4.142857143,3,2.25,2.444444444
286,21 - 24,R_doJKhqQDQYb7l29,Female,Ana,29,2,1,4,3,PC,Support,Female,15,2.857142857,5.4,5.2,3.857142857,4.142857143,3.6,4.5,3.555555556
287,18 - 20,R_vjJOXhSIRQ6WTxD,Male,Hanzo,0,1,3,4,2,PC,Defense,Male,18,4.714285714,4.5,4.4,3.142857143,3.285714286,2.2,3.875,2.777777778
288,21 - 24,R_5hFeYB3gXUQquf7,Male,Zenyatta,60,2,1,4,3,PC,Support,Male,14,2.428571429,5.1,5.4,4.428571429,4.571428571,4.4,2.375,3.222222222
289,21 - 24,R_1P7OUvrD4SUMuaL,Female,Mercy,31,1,3,2,4,PC,Support,Female,13,4.142857143,4.5,4.3,4.142857143,3.857142857,2.8,3.125,2.444444444
290,21 - 24,R_NX8uVRYooHWQ2Qh,Male,McCree,72,3,1,4,2,PC,Offense,Male,11,4.285714286,5.5,5,3.571428571,3.714285714,3.2,3.125,3.555555556
291,25 - 29,R_2fwH0aDE63Ztyxk,Male,Reinhardt,57,2,1,3,4,PC,Tank,Male,19,4.428571429,5,3.1,4.428571429,3.714285714,3.2,1.5,3.777777778
292,25 - 29,R_1l5d5wod2P0HF74,Female,Tracer,86,1,2,4,3,PC,Offense,Female,16,2.285714286,3,2.9,4.285714286,3.571428571,3.3,2.5,3.666666667
293,25 - 29,R_2c0cke2xosVvLiY,Male,Hanzo,52,2,1,4,3,PC,Defense,Male,24,3.428571429,3.6,3.6,4.285714286,3.714285714,3.1,2.625,3.111111111
294,18 - 20,R_2cbgDqcTOvO3yUE,Male,Lucio,82,1,2,4,3,PC,Support,Male,13,2,1.7,1.7,4.428571429,4.142857143,3.2,2.375,2.333333333
295,21 - 24,R_1ojOmEju9XKrAkF,Female,Sombra,19,1,2,3,4,PC,Offense,Female,17,3.285714286,1.7,2.9,4.714285714,4.285714286,2.4,3.75,3.777777778
296,18 - 20,R_22sNrQztipFfWTl,Female,Orisa,49,1,2,3,4,PC,Tank,Female,7,5.142857143,6.8,5.4,4.857142857,3.428571429,3.8,3.5,1.444444444
